participant_id;auc_8_Mother;auc_8_Unfamiliar Adult;auc_4_Father;auc_4_Unfamiliar Adult;auc_4_Mother;auc_8_Father;video_quality_mean_8_Mother;video_quality_mean_8_Unfamiliar Adult;video_quality_mean_4_Father;video_quality_mean_4_Unfamiliar Adult;video_quality_mean_4_Mother;video_quality_mean_8_Father;video_quality_sd_8_Mother;video_quality_sd_8_Unfamiliar Adult;video_quality_sd_4_Father;video_quality_sd_4_Unfamiliar Adult;video_quality_sd_4_Mother;video_quality_sd_8_Father;n_8_Mother;n_8_Unfamiliar Adult;n_4_Father;n_4_Unfamiliar Adult;n_4_Mother;n_8_Father
42;0,956718522561863;0,586374886431279;NA;NA;NA;0,997770270270270;0,590925572294618;0,593803057550535;NA;NA;NA;0,635970660693642;0,0160695461139814;0,0411574700676233;NA;NA;NA;0,0583281532654126;1765;1682;NA;NA;NA;346
43;NA;NA;0,882248058417649;0,931010912579446;0,905899792578260;NA;NA;NA;0,612922334617855;0,614126549072513;0,603946325237530;NA;NA;NA;0,0400899087747811;0,0361287721425538;0,0464012256646905;NA;NA;NA;1557;1779;1684;NA
44;0,663407684952091;0,627565432952842;0,800490279686836;0,513698664386473;0,846641273783962;0,949165735946120;0,626181028458498;0,643927093211334;0,626241981504178;0,613419458130312;0,603321758978979;0,627953070756302;0,0557834883023037;0,0408128026050635;0,0441581710668145;0,0231926506344683;0,0304214701721793;0,0501638895368508;1265;1694;1795;1765;1665;595
45;NA;NA;0,723157074291340;0,913795847829547;0,613265221924672;NA;NA;NA;0,630389482525510;0,625917250057405;0,617145918368902;NA;NA;NA;0,0283319197053462;0,0364156150719995;0,0391067812977255;NA;NA;NA;1568;1742;1312;NA
46;0,891841888765853;0,863004588554529;0,895027319578744;0,766779601612244;0,774294446450135;NA;0,637983306823144;0,651049085641605;0,650042260312688;0,570283282372323;0,616755664997248;NA;0,0240039891127281;0,0516014194960206;0,0312066311556080;0,0175526151535868;0,0288619182199157;NA;1832;1769;1663;1821;1817;NA
47;0,929254571026723;0,947769056657038;0,964182194616977;0,922084276777833;0,837365314402247;0,575683521431322;0,617027439169909;0,636341941064426;0,673877877183320;0,635967512635379;0,686319968596395;0,574018387375000;0,0928858155689239;0,0592181777713482;0,0362257077470193;0,0714162956577973;0,0406239487691849;0,0555876537182064;771;1785;1271;1385;1831;800
48;0,909777796517266;0,878305882352941;0,813074792378026;0,799800967175133;0,773397187993346;0,719271038005951;0,612615607748184;0,636475835657143;0,610676218526663;0,625183571231364;0,613838926253521;0,639877714799154;0,0397064551830249;0,0312561295065545;0,0209076924975549;0,0221892882744038;0,0233110513150967;0,0452697427832861;826;1750;1819;1811;1775;946
49;NA;0,833660811001743;NA;NA;NA;0,759704804261766;NA;0,588744243847073;NA;NA;NA;0,588847945917160;NA;0,0485990050509045;NA;NA;NA;0,0527590258112285;NA;1674;NA;NA;NA;1690
51;0,916267047044128;0,902527655892714;0,926269439760165;0,864479347353372;0,757440764413455;NA;0,592164289403509;0,606099632885086;0,702460180792853;0,686042840542005;0,680781712132753;NA;0,0389903340459779;0,0475961582446820;0,0483324873587726;0,0193830045478431;0,0180059157604993;NA;1425;1636;1791;1845;1838;NA
53;0,909587220447284;0,866695128138496;0,963078875399877;0,822848055812045;NA;0,781334107826233;0,647330720652174;0,640800193312435;0,635707739073569;0,635753703926842;NA;0,643833200390190;0,0285860916259329;0,0517635511625469;0,0238650895561132;0,0304931714498996;NA;0,0476331303869656;1564;957;1835;1859;NA;1794
